customer_id,first_name,last_name,email,signup_date,city,state
NULL,@@@,CustLN54,customer54@example.com,123abc,Noida,Telangana
invalid,CustFN55,CustLN55,not_a_date,,32-13-2025,Uttar Pradesh
null,CustFN56,CustLN56,nan,2023-11-30,Mumbai,Maharashtra
C00057,CustFN57,CustLN57,customer57@example.com,123abc,NULL,not_a_date
###BAD###,CustFN58,CustLN58,nan,2024-12-28,Hyderabad,Tamil Nadu
C00059,invalid,nan,N/A,nan, , 
C00060,@@@,CustLN60,customer60@example.com,2024-06-30,Delhi,invalid
C00061,CustFN61,CustLN61,N/A,invalid,invalid,###BAD###
C00062,CustFN62,NULL,@@@,9999-99-99,,###BAD###
not_a_date,CustFN63,CustLN63,customer63@example.com,2024-05-16,invalid,NULL
C00064,CustFN64,CustLN64,@@@,2023-12-01,Delhi,Maharashtra
C00065,CustFN65,invalid,customer65@example.com,2025-08-04,9999-99-99,West Bengal
C00066,nan,CustLN66,customer66@example.com,2025-02-16,null,Maharashtra
123abc,@@@,CustLN67,N/A,2024-07-06,Delhi,32-13-2025
C00068,not_a_date,CustLN68,customer68@example.com,invalid,NULL,9999-99-99
,CustFN69,CustLN69,customer69@example.com,2024-10-26,null,Maharashtra
NULL,invalid,N/A,customer70@example.com,9999-99-99, ,West Bengal
C00071,CustFN71,CustLN71,customer71@example.com,2024-04-14,NULL,9999-99-99
null,CustFN72,CustLN72,9999-99-99,N/A,Chennai,Maharashtra
C00073,,CustLN73,###BAD###,N/A,Noida,123abc
NULL,CustFN74,CustLN74,null,N/A,Hyderabad, 
nan,null,CustLN75,N/A,2024-07-02,Delhi,Tamil Nadu
C00076,@@@,N/A,9999-99-99, ,Delhi,invalid
C00077, ,CustLN77,customer77@example.com,32-13-2025,Kolkata,West Bengal
C00078,CustFN78,CustLN78,customer78@example.com,2024-10-06,Hyderabad,Maharashtra
N/A,###BAD###,CustLN79, , ,invalid,West Bengal
C00080,nan,CustLN80,###BAD###,2025-10-19,Kolkata,32-13-2025
C00081,CustFN81,CustLN81,customer81@example.com,@@@,9999-99-99,
C00082,32-13-2025,CustLN82,invalid, ,Pune,Uttar Pradesh
C00083,not_a_date,invalid,customer83@example.com,2023-10-20,@@@,Maharashtra
invalid,@@@,CustLN84,32-13-2025,2024-06-26,Hyderabad,Tamil Nadu
NULL,CustFN85,###BAD###,nan,,Hyderabad,Uttar Pradesh
invalid,CustFN86,CustLN86,customer86@example.com,not_a_date,Delhi,null
C00087,CustFN87,CustLN87,32-13-2025,2024-06-22,###BAD###,null
C00088,CustFN88,CustLN88,customer88@example.com,2025-05-27,@@@,Karnataka
123abc,CustFN89,CustLN89,customer89@example.com, ,Pune,Maharashtra
nan,CustFN90,CustLN90,@@@,2025-01-11,nan,Karnataka
C00091,123abc,CustLN91,@@@,nan,Pune, 
9999-99-99,CustFN92,NULL,,null,Bengaluru,Uttar Pradesh
C00093,CustFN93,CustLN93,nan,###BAD###,Noida,###BAD###
C00094,CustFN94,CustLN94,customer94@example.com,nan,Delhi,Maharashtra
C00095,###BAD###,CustLN95,customer95@example.com,2023-04-07,Delhi,Maharashtra
null, ,CustLN96,N/A,2023-08-13,Delhi,N/A
,CustFN97,CustLN97,NULL,9999-99-99,@@@,
C00098,CustFN98,CustLN98,9999-99-99,2023-11-24,Hyderabad,Maharashtra
C00099,CustFN99,123abc,customer99@example.com,###BAD###,Delhi,32-13-2025
 ,NULL,not_a_date, ,@@@,Pune,Karnataka
@@@,CustFN101,NULL,customer101@example.com,32-13-2025,Bengaluru,West Bengal
 ,CustFN102,32-13-2025,not_a_date,2025-02-20,Mumbai,null
,CustFN103,CustLN103,customer103@example.com,2025-08-16,Pune,Karnataka
 ,CustFN104,CustLN104,customer104@example.com,2024-05-29,Delhi,Maharashtra
C00105,CustFN105,CustLN105,customer105@example.com,@@@,NULL,West Bengal
C00106,CustFN106,CustLN106,,nan,Pune,Uttar Pradesh
nan,CustFN107,NULL,customer107@example.com,2024-06-30,Hyderabad,@@@
invalid,CustFN108,CustLN108,customer108@example.com,2024-11-27,Mumbai,N/A
C00109,CustFN109,CustLN109,customer109@example.com,2023-08-17,###BAD###,invalid
C00110,CustFN110,CustLN110,###BAD###,32-13-2025,Chennai,Uttar Pradesh
invalid,NULL,NULL,customer111@example.com,nan,Pune,Maharashtra
###BAD###, ,CustLN112,customer112@example.com,32-13-2025,not_a_date,Maharashtra
123abc,CustFN113,CustLN113,customer113@example.com,N/A,Kolkata,Telangana
null,CustFN114,invalid,nan,N/A,Bengaluru,Maharashtra
C00115,CustFN115,CustLN115,null,2024-06-23,Noida,Maharashtra
###BAD###,123abc,CustLN116,9999-99-99,nan,Kolkata,Tamil Nadu
NULL,9999-99-99,CustLN117,null,N/A,nan,123abc
C00118,CustFN118,CustLN118,N/A,2023-08-06,Pune,Maharashtra
C00119,CustFN119,CustLN119,9999-99-99,2024-09-03,Pune,Telangana
,CustFN120,CustLN120,,2024-02-12,Delhi,nan
C00121,32-13-2025,CustLN121,customer121@example.com,32-13-2025,Chennai,Delhi
C00122,CustFN122,CustLN122,not_a_date,2025-02-04,Kolkata,32-13-2025
,CustFN123,CustLN123,customer123@example.com,,Hyderabad, 
,###BAD###,CustLN124,customer124@example.com,2023-01-02,Mumbai,null
123abc,CustFN125,NULL,nan,2024-10-25,Chennai,N/A
C00126,nan, ,customer126@example.com,2025-09-27,Mumbai,Tamil Nadu
123abc,123abc,CustLN127,customer127@example.com,2023-02-09,Bengaluru,@@@
123abc,CustFN128,nan,customer128@example.com,nan,Chennai,Tamil Nadu
C00129,null,N/A,invalid,2025-01-13,Chennai,123abc
9999-99-99,CustFN130,CustLN130,not_a_date,2024-09-21,NULL,Delhi
@@@,CustFN131,CustLN131,32-13-2025,32-13-2025,Pune,Maharashtra
not_a_date,CustFN132,CustLN132,,2023-04-29,Mumbai,Telangana
9999-99-99,CustFN133,CustLN133,customer133@example.com,123abc,not_a_date,Uttar Pradesh
###BAD###,CustFN134,CustLN134,123abc,NULL,Bengaluru,West Bengal
C00135,N/A,null,customer135@example.com,NULL,not_a_date,@@@
C00136,nan,CustLN136,nan,2025-09-22,N/A,Tamil Nadu
 ,123abc,CustLN137,NULL,2023-05-22,Bengaluru,@@@
invalid,N/A,CustLN138,customer138@example.com,2023-09-15,Mumbai,nan
NULL,CustFN139,@@@, ,32-13-2025,Delhi,Delhi
NULL,nan,CustLN140,invalid,9999-99-99,Kolkata, 
N/A,,nan,###BAD###,2023-12-05,Hyderabad,invalid
###BAD###,N/A,CustLN142,nan,2024-06-26,nan,Telangana
C00143,CustFN143,CustLN143,32-13-2025,2025-05-16,@@@,Uttar Pradesh
C00144,N/A,CustLN144,N/A,NULL, ,9999-99-99
invalid,,CustLN145,nan,2024-02-16,Bengaluru,Maharashtra
C00146,CustFN146,null,9999-99-99,2024-09-30,Pune,Karnataka
NULL,9999-99-99,N/A,###BAD###,2025-03-28,Chennai,Delhi
C00148,NULL,CustLN148,customer148@example.com,2025-02-03,Pune,###BAD###
C00149,123abc,, ,N/A,NULL,invalid
C00150, ,,customer150@example.com,2025-07-13,Mumbai,Maharashtra
C00151,CustFN151,CustLN151,customer151@example.com,2023-09-05,###BAD###,Delhi
32-13-2025,nan,CustLN152,customer152@example.com,invalid,nan,Maharashtra
NULL,CustFN153,CustLN153, ,2024-04-05,Mumbai,nan
N/A,CustFN154,CustLN154,customer154@example.com,2023-05-12,32-13-2025,West Bengal
C00155,CustFN155,CustLN155,customer155@example.com,2024-11-23,Chennai,nan
invalid,123abc,nan,customer156@example.com,2023-02-13,N/A,Tamil Nadu
123abc,32-13-2025,CustLN157,,2024-04-16,###BAD###,Maharashtra
C00158,@@@,CustLN158,###BAD###, ,invalid,32-13-2025
C00159,CustFN159,CustLN159,customer159@example.com,2023-01-15,###BAD###,N/A
C00160,CustFN160,CustLN160,invalid,2023-05-26,Hyderabad,@@@
C00161,CustFN161,CustLN161,not_a_date,2023-05-01,9999-99-99,Karnataka
C00162,CustFN162,CustLN162,###BAD###,2024-04-13,Kolkata,Maharashtra
C00163,nan,CustLN163,customer163@example.com,2023-05-19,NULL,Maharashtra
C00164,,CustLN164,null,@@@,Pune,N/A
C00165,not_a_date,CustLN165,NULL,2024-11-07,Hyderabad,Karnataka
C00166,CustFN166,CustLN166,customer166@example.com,2023-05-26,null,NULL
C00167,CustFN167,CustLN167,N/A,null,,invalid
invalid, , ,customer168@example.com,2024-07-24,Noida, 
 ,9999-99-99,9999-99-99,customer169@example.com,2025-09-21,Chennai,9999-99-99
123abc,invalid,CustLN170,32-13-2025,invalid,Mumbai,32-13-2025
invalid,invalid,CustLN171,customer171@example.com,2023-09-28,123abc,Telangana
123abc,null,CustLN172,customer172@example.com,2025-08-26,Hyderabad,Maharashtra
32-13-2025,CustFN173,,customer173@example.com,2024-05-12,Mumbai,not_a_date
C00174,CustFN174,CustLN174,32-13-2025,null,nan,NULL
C00175,CustFN175,CustLN175, ,2025-04-13,Kolkata,@@@
C00176,invalid,,@@@,32-13-2025, ,invalid
C00177,,CustLN177,invalid,2023-07-13,Kolkata,Maharashtra
NULL,CustFN178,CustLN178,invalid,2023-07-18,Bengaluru,N/A
C00179,CustFN179,###BAD###,NULL,2025-06-01,Chennai,Telangana
9999-99-99,CustFN180,CustLN180,customer180@example.com,2024-12-26,Chennai,West Bengal
NULL,CustFN181,CustLN181,9999-99-99,null,Pune,Delhi
C00182,CustFN182,CustLN182,customer182@example.com,2025-04-21,Delhi,9999-99-99
invalid,NULL,CustLN183,customer183@example.com,123abc,nan,###BAD###
C00184,nan,###BAD###,not_a_date,2023-04-21,,
,nan,CustLN185,customer185@example.com,2023-07-21,Hyderabad,Maharashtra
,CustFN186,invalid,customer186@example.com,2023-05-05,N/A,Tamil Nadu
@@@,CustFN187,NULL, ,9999-99-99,Bengaluru,###BAD###
32-13-2025,CustFN188,CustLN188,not_a_date,invalid,###BAD###,Uttar Pradesh
C00189,invalid,null,N/A,2023-08-12,Kolkata,West Bengal
nan,CustFN190,CustLN190,NULL,2024-05-24,NULL,Maharashtra
C00191,CustFN191,NULL,@@@,invalid,not_a_date,NULL
invalid,CustFN192,not_a_date,customer192@example.com,,NULL,Telangana
C00193,CustFN193,CustLN193,customer193@example.com,null,N/A,not_a_date
C00194,NULL,CustLN194,customer194@example.com,32-13-2025,null,Telangana
C00195,32-13-2025,CustLN195,NULL,2025-05-14,###BAD###,Delhi
C00196,CustFN196,invalid,nan,,Noida,Tamil Nadu
@@@,CustFN197,CustLN197,null,32-13-2025,Delhi,West Bengal
C00198, ,,customer198@example.com,2025-08-05,Pune,not_a_date
 ,CustFN199,NULL,customer199@example.com,2024-05-26,123abc,@@@
C00200,not_a_date,###BAD###,null, ,not_a_date,Tamil Nadu
C00201, , ,customer201@example.com,N/A,nan,NULL
C00202,invalid,CustLN202,customer202@example.com,###BAD###,nan,invalid
9999-99-99,CustFN3,CustLN203,N/A,invalid,invalid,9999-99-99
C00204,invalid,CustLN204,customer204@example.com,2023-01-31,nan,Telangana
C00205,nan,NULL,customer205@example.com,2023-07-11,###BAD###,Maharashtra
C00206,CustFN6,NULL,customer206@example.com,N/A,Pune,Maharashtra
123abc,CustFN7,CustLN207,customer207@example.com,2023-12-07,Bengaluru,Delhi
C00208,CustFN8,CustLN208,customer208@example.com,@@@,Noida,nan
C00209,CustFN9,CustLN209,customer209@example.com,2025-09-21,Pune,NULL
,CustFN10,CustLN210,customer210@example.com,2025-09-12,Delhi, 
C00211, ,CustLN211, ,,123abc,Uttar Pradesh
,32-13-2025,CustLN212,customer212@example.com,null,Delhi,invalid
C00213, ,CustLN213,null,2023-05-01,9999-99-99,Tamil Nadu
C00214,nan,CustLN214,customer214@example.com,2023-12-04,not_a_date,Delhi
9999-99-99,###BAD###,9999-99-99,###BAD###,,Hyderabad,N/A
C00216,null,not_a_date,null,nan,Delhi,Delhi
NULL,CustFN17,CustLN217,,2025-03-10,Hyderabad,Karnataka
C00218,CustFN18,CustLN218,customer218@example.com,2024-06-27,Chennai,Telangana
C00219,CustFN19,invalid,customer219@example.com,2025-07-20,###BAD###,Uttar Pradesh
123abc,CustFN20,CustLN220,not_a_date,123abc,,nan
C00221,CustFN21,CustLN221,customer221@example.com,###BAD###,Pune,Delhi
C00222,CustFN22,CustLN222,N/A,2025-09-23,Bengaluru,nan
nan,###BAD###,###BAD###,@@@, ,Delhi,Delhi
C00224,CustFN24,CustLN224, ,2024-01-24,,not_a_date
,CustFN25,CustLN225,NULL,2024-08-30,###BAD###,null
C00226,@@@,CustLN226,9999-99-99,2024-03-21,Pune,NULL
not_a_date,CustFN27,invalid,customer227@example.com,123abc,Pune,Telangana
C00228,null,CustLN228,,2023-05-05,N/A,Maharashtra
C00229,CustFN29,N/A,null,NULL,@@@,Tamil Nadu
C00230,CustFN30,nan,###BAD###,###BAD###,Delhi,Telangana
C00231,CustFN31,N/A,customer231@example.com,123abc,not_a_date,9999-99-99
not_a_date,CustFN32,CustLN232,customer232@example.com,2025-09-03,Chennai,Delhi
C00233,CustFN33,CustLN233,###BAD###,2025-10-26,Kolkata,West Bengal
C00234,###BAD###,CustLN234,customer234@example.com,2023-11-19,null,N/A
nan,CustFN35,not_a_date,customer235@example.com,2023-04-27,Bengaluru,Telangana
null,9999-99-99,CustLN236,###BAD###,2023-06-14,123abc,null
C00237,CustFN37,CustLN237,customer237@example.com,2024-01-16,Bengaluru,9999-99-99
C00238,CustFN38,CustLN238,customer238@example.com,2023-05-21,Noida,invalid
32-13-2025,CustFN39,CustLN239,customer239@example.com,2023-05-20,Noida,Tamil Nadu
C00240,not_a_date,,customer240@example.com,invalid,32-13-2025,Tamil Nadu
C00241,CustFN41,CustLN241,customer241@example.com,2025-04-06,nan,Uttar Pradesh
not_a_date,CustFN42,CustLN242,customer242@example.com, ,32-13-2025,###BAD###
,CustFN43,, ,2024-05-19,32-13-2025,Delhi
C00244,CustFN44,CustLN244,,not_a_date,null,Karnataka
###BAD###,CustFN45,###BAD###,@@@,2023-06-17,Delhi,NULL
C00246,9999-99-99,###BAD###,###BAD###,2025-05-08,,Tamil Nadu
null,not_a_date,CustLN247,not_a_date,not_a_date,Noida,Telangana
@@@,CustFN48,CustLN248,###BAD###,,invalid,null
C00249,CustFN49,CustLN249,customer249@example.com,2024-02-23,Chennai,Uttar Pradesh
C00250,not_a_date,32-13-2025,NULL,9999-99-99,Mumbai,Delhi
C00251,CustFN51,CustLN251,customer251@example.com,123abc,Pune,@@@
C00252,CustFN52,null,N/A,123abc,Delhi,Tamil Nadu
C00253,null,123abc,customer253@example.com,2025-03-21,Chennai,invalid
C00254,CustFN54,CustLN254,customer254@example.com,invalid,123abc,Uttar Pradesh
,CustFN55,CustLN255,customer255@example.com,2024-09-06,,West Bengal
C00256,CustFN56,CustLN256,customer256@example.com,123abc,32-13-2025,Uttar Pradesh
C00257,CustFN57,nan, ,,Mumbai,Delhi
C00258,CustFN58,nan,,123abc,,Karnataka
C00259,CustFN59,N/A,###BAD###,2023-01-20,null,invalid
C00260,CustFN60,CustLN260,customer260@example.com,2025-07-27,Delhi,9999-99-99
,CustFN61,123abc,customer261@example.com,2023-07-24,9999-99-99,Telangana
C00262,CustFN62,123abc,customer262@example.com,2023-05-31,Hyderabad,Maharashtra
 ,CustFN63,NULL,32-13-2025,2024-03-12,Noida,Telangana
C00264,CustFN64,nan,customer264@example.com,N/A,Mumbai,Maharashtra
C00265,CustFN65,CustLN265,customer265@example.com,2024-06-27,Noida,Uttar Pradesh
C00266,CustFN66,CustLN266,9999-99-99,NULL,nan,###BAD###
 ,CustFN67,invalid,NULL,2024-12-15, ,Telangana
,32-13-2025,CustLN268,customer268@example.com,2023-05-21,Noida,Karnataka
@@@,CustFN69,CustLN269,customer269@example.com,2024-05-15,invalid,Tamil Nadu
C00270,NULL,nan,9999-99-99,2025-01-26,nan,Maharashtra
C00271,not_a_date,123abc,customer271@example.com,123abc,Noida,###BAD###
C00272,CustFN72,nan,customer272@example.com,2023-11-20,NULL,Uttar Pradesh
C00273,@@@,CustLN273,null,2025-06-16,Pune,Maharashtra
C00274,CustFN74,CustLN274,customer274@example.com,2024-09-11,Delhi,Karnataka
C00275,CustFN75,CustLN275,customer275@example.com,2023-01-17,Bengaluru,32-13-2025
C00276,null,CustLN276,customer276@example.com,2024-09-05,@@@,Maharashtra
not_a_date,CustFN77,9999-99-99,nan,2023-08-01,Kolkata,Tamil Nadu
C00278,@@@,CustLN278,customer278@example.com,2023-10-03,###BAD###,Uttar Pradesh
C00279,CustFN79,CustLN279,N/A,@@@,nan,West Bengal
C00280,###BAD###,NULL, ,invalid,not_a_date,not_a_date
C00281,CustFN81,CustLN281,customer281@example.com,2023-08-08,Pune,Telangana
###BAD###,,CustLN282,customer282@example.com,2023-11-15,not_a_date,invalid
C00283,NULL,CustLN283,customer283@example.com,invalid,9999-99-99,Telangana
C00284,CustFN84,@@@,customer284@example.com,@@@,nan,123abc
C00285,CustFN85,not_a_date,customer285@example.com,2024-03-07,Hyderabad,Delhi
C00286,nan,CustLN286,customer286@example.com,2024-12-03,Pune,nan
32-13-2025,null,CustLN287,customer287@example.com,2024-02-21,Mumbai,Karnataka
C00288,CustFN88,N/A,32-13-2025,2024-06-24,###BAD###,Maharashtra
,CustFN89,CustLN289,customer289@example.com,2025-11-01,NULL,###BAD###
C00290,123abc,CustLN290,customer290@example.com,@@@,Pune,West Bengal
C00291,CustFN91,CustLN291,customer291@example.com,invalid,null,nan
nan,CustFN92,CustLN292,customer292@example.com,2023-04-15,Hyderabad,invalid
C00293,CustFN93, ,customer293@example.com,2023-07-09,Chennai,123abc
not_a_date,CustFN94,@@@,customer294@example.com,32-13-2025,Chennai, 
C00295,NULL,not_a_date,customer295@example.com,2024-07-20,Bengaluru,Uttar Pradesh
nan,invalid,CustLN296,customer296@example.com,N/A,invalid,N/A
C00297,9999-99-99,123abc,N/A,123abc,NULL,not_a_date
invalid,CustFN98,CustLN298,customer298@example.com,32-13-2025,@@@,
C00299,NULL,CustLN299,customer299@example.com,2023-09-25,null,###BAD###
C00300,N/A,CustLN0,customer300@example.com,2024-06-20,Chennai,9999-99-99
C00301,CustFN101,,customer301@example.com,2023-11-27,Hyderabad,Telangana
C00302,CustFN102,###BAD###,customer302@example.com,2025-06-23,,Telangana
null,CustFN103,CustLN3,,2025-05-25,Delhi,Delhi
C00304,CustFN104,CustLN4,customer304@example.com,2023-01-20,Chennai,123abc
C00305,CustFN105,CustLN5,customer305@example.com,2023-08-18,null,null
C00306,CustFN106,CustLN6,not_a_date,9999-99-99,Pune,Telangana
 ,###BAD###,CustLN7,N/A,2023-11-02,Bengaluru,Telangana
C00308, , ,customer308@example.com,NULL,,Maharashtra
@@@,CustFN109,CustLN9,not_a_date,N/A,Hyderabad,9999-99-99
C00310,CustFN110,NULL,customer310@example.com,,32-13-2025,Delhi
C00311,,N/A,customer311@example.com,2025-05-30,9999-99-99,Delhi
C00312,CustFN112,123abc,customer312@example.com,not_a_date,Pune,West Bengal
 ,CustFN113,CustLN13,customer313@example.com,2023-03-27,Chennai,Maharashtra
C00314,CustFN114,CustLN14,,2024-09-23,Bengaluru,Karnataka
C00315,not_a_date,N/A,customer315@example.com,2025-01-16,Kolkata,32-13-2025
NULL,CustFN116,CustLN16,N/A,2023-03-23,Pune,123abc
C00317,@@@,CustLN17,customer317@example.com,2025-01-02, ,Maharashtra
9999-99-99,CustFN118,CustLN18,not_a_date,2024-03-06,Kolkata,Telangana
9999-99-99,9999-99-99,CustLN19,N/A,2024-05-26,32-13-2025,Delhi
@@@,###BAD###,CustLN20,customer320@example.com,2023-07-30,9999-99-99,###BAD###
not_a_date,CustFN121,CustLN21,customer321@example.com,2024-12-25,Bengaluru,Delhi
C00322,nan,CustLN22,customer322@example.com,32-13-2025,32-13-2025,@@@
###BAD###,nan,CustLN23,NULL,2023-11-13,NULL,32-13-2025
32-13-2025,CustFN124,not_a_date,32-13-2025,,@@@,West Bengal
C00325,CustFN125,CustLN25,N/A,123abc,Mumbai,@@@
C00326,CustFN126,CustLN26,customer326@example.com,invalid,null,Maharashtra
C00327,CustFN127,###BAD###,customer327@example.com,not_a_date,Bengaluru,Telangana
C00328,CustFN128,not_a_date,customer328@example.com,N/A,Hyderabad,Uttar Pradesh
N/A,CustFN129,CustLN29,customer329@example.com,2024-01-03,Bengaluru,Karnataka
nan,N/A,@@@,customer330@example.com,123abc,Bengaluru,Maharashtra
C00331,CustFN131,CustLN31,customer331@example.com,2025-04-23,invalid,9999-99-99
C00332,CustFN132,CustLN32,customer332@example.com,2024-05-23,Bengaluru,Uttar Pradesh
C00333,CustFN133,CustLN33,null,###BAD###,Noida,32-13-2025
@@@,CustFN134,CustLN34,customer334@example.com,NULL,N/A,Tamil Nadu
32-13-2025,CustFN135,CustLN35,32-13-2025,2023-08-10,123abc,Telangana
C00336,CustFN136,CustLN36,customer336@example.com,123abc,32-13-2025,Delhi
C00337,CustFN137,CustLN37,123abc,2023-03-21,nan,not_a_date
C00338,CustFN138,CustLN38,null,2025-08-21,Noida,Karnataka
 ,CustFN139,CustLN39,N/A,2024-03-31,invalid,###BAD###
not_a_date,CustFN140,@@@,customer340@example.com,2024-02-13,Noida,Tamil Nadu
C00341,invalid,null,customer341@example.com,2025-07-31,invalid,Maharashtra
C00342,###BAD###,CustLN42,not_a_date,2024-12-17,,Uttar Pradesh
C00343,NULL,not_a_date,not_a_date,2024-09-17,Chennai,West Bengal
N/A,N/A,NULL,customer344@example.com,2024-04-11,Noida,not_a_date
null,CustFN145,nan, ,2024-04-01,@@@,Maharashtra
###BAD###,32-13-2025,CustLN46,customer346@example.com,2023-02-18,Pune,Uttar Pradesh
C00347,CustFN147,CustLN47,customer347@example.com,2024-01-31,123abc,null
C00348,CustFN148,invalid,customer348@example.com, ,Noida,Uttar Pradesh
32-13-2025,CustFN149,123abc,NULL,2024-11-03,Chennai,9999-99-99
C00350,CustFN150,N/A,customer350@example.com,2024-07-24,###BAD###,Maharashtra
,CustFN151,CustLN51,customer351@example.com,2023-05-23,Hyderabad,Delhi
C00352,9999-99-99,CustLN52,customer352@example.com,2024-07-25,9999-99-99,Tamil Nadu
 ,CustFN153,CustLN53,customer353@example.com,###BAD###,Kolkata,Maharashtra
###BAD###,invalid,CustLN54,customer354@example.com,N/A,Bengaluru,###BAD###
32-13-2025,nan,123abc,32-13-2025,2024-11-09,Chennai,Maharashtra
C00356,NULL, ,32-13-2025,,Mumbai,9999-99-99
###BAD###,CustFN157,nan,not_a_date,null,Noida,Delhi
32-13-2025,CustFN158,CustLN58,customer358@example.com,2024-06-18,Pune,
9999-99-99,nan,N/A,customer359@example.com,2024-01-01,Delhi,West Bengal
C00360,CustFN160,CustLN60,customer360@example.com,2024-06-27,Delhi,123abc
###BAD###,CustFN161,CustLN61,nan,2023-03-20,@@@,Karnataka
C00362,CustFN162,NULL,invalid,2023-08-11,Delhi,Maharashtra
,32-13-2025,CustLN63,nan,32-13-2025,Bengaluru,Telangana
C00364,CustFN164,CustLN64,customer364@example.com,null,Chennai,Uttar Pradesh
C00365,CustFN165,,@@@,nan,Noida,West Bengal
C00366,,N/A,customer366@example.com,2025-06-12,,9999-99-99
C00367,CustFN167,CustLN67,customer367@example.com,2023-08-25,nan,nan
C00368,CustFN168,CustLN68,customer368@example.com,2025-02-27,Delhi,Karnataka
,###BAD###,CustLN69,customer369@example.com,2024-01-25,Kolkata,Telangana
C00370,CustFN170,CustLN70,nan,@@@,Noida,9999-99-99
C00371,CustFN171,@@@,customer371@example.com,2023-04-01,Pune,not_a_date
C00372,CustFN172,CustLN72,32-13-2025,2025-06-12,Mumbai,West Bengal
